Asset Center,Asset Title,Access Manager Value,Asset Status,User Name,User UUPIC,User Duty Center,Org Code,Business Phone,Primary E-mail,Primary Affiliation Agreement,Identity Status,Request Number,Submitted Date,Request Type,Request Status,Is Currently Provisioned,Provisioned Date,Role Title,Privileged Role Type,Selected Value,Request Role Status
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith22,942132423,HQ,LM020,redacted,redacted,redacted,Active,Add-001649691,42418,Add,Provisioned,Yes,42424,bad_information,2 - Privileged - System Administration,DAR Admin,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith23,392738104,HQ,LM020,redacted,redacted,redacted,Active,Add-001659137,42419,Add,Provisioned,Yes,42424,bad_information,5 - Privileged - Account Administration (includes help desk user),Account Administrator,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith24,44216912,HQ,LM020,redacted,redacted,redacted,Active,Add-001659138,42419,Add,Provisioned,Yes,42423,bad_information,5 - Privileged - Account Administration (includes help desk user),Account Administrator,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith25,982626805,HQ,JC000,redacted,redacted,redacted,Active,Add-001714548,42438,Add,Provisioned,Yes,42439,bad_information,2 - Privileged - System Administration,RFI Admin,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith25,982626805,HQ,JC000,redacted,redacted,redacted,Active,Add-001714548,42438,Add,Provisioned,Yes,42439,bad_information,5 - Privileged - Account Administration (includes help desk user),Account Administrator,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith3,385693440,ARC,I,redacted,redacted,redacted,Active,Add-001714555,42438,Add,Provisioned,Yes,42439,bad_information,2 - Privileged - System Administration,RFI Admin,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith124,146575364,KSC,ITSS,redacted,redacted,redacted,Active,Add-001726678,42439,Add,Provisioned,Yes,42439,bad_information,2 - Privileged - System Administration,RFI Admin,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith10,202870821,GRC,V000,redacted,redacted,redacted,Active,Add-001727373,42439,Add,Provisioned,Yes,42440,bad_information,2 - Privileged - System Administration,RFI Admin,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith11,910013662,GRC,VR00,redacted,redacted,redacted,Active,Add-001728523,42440,Add,Provisioned,Yes,42440,bad_information,2 - Privileged - System Administration,RFI Admin,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith16,712549010,GSFC,705,redacted,redacted,redacted,Active,Add-001737230,42443,Add,Provisioned,Yes,42444,bad_information,2 - Privileged - System Administration,RFI Admin,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith4,96747166,ARC,I,redacted,redacted,redacted,Active,Add-001767280,42451,Add,Provisioned,Yes,42452,bad_information,2 - Privileged - System Administration,RFI Admin,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith5,427016956,ARC,ID,redacted,redacted,redacted,Active,Add-001767282,42451,Add,Provisioned,Yes,42452,bad_information,2 - Privileged - System Administration,RFI Admin,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith146,105483040,SSC,RA41,redacted,redacted,redacted,Active,Add-001768385,42452,Add,Provisioned,Yes,42452,bad_information,2 - Privileged - System Administration,RFI Admin,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith147,252217550,SSC,RA41,redacted,redacted,redacted,Active,Add-001769725,42453,Add,Provisioned,Yes,42458,bad_information,2 - Privileged - System Administration,RFI Admin,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith1,130409155,AFRC,640,redacted,redacted,redacted,Active,Add-001785722,42466,Add,Provisioned,Yes,42467,bad_information,2 - Privileged - System Administration,RFI Admin,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith12,409824462,GRC,VM00,redacted,redacted,redacted,Active,Add-001905344,42544,Add,Provisioned,Yes,42549,bad_information,2 - Privileged - System Administration,RFI Admin,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith128,130271004,LARC,B7,redacted,redacted,redacted,Active,Add-001939743,42564,Add,Provisioned,Yes,42564,bad_information,2 - Privileged - System Administration,RFI Admin,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith129,345446750,LARC,B7,redacted,redacted,redacted,Active,Add-002196233,42740,Add,Provisioned,Yes,42740,bad_information,2 - Privileged - System Administration,RFI Admin,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith125,218767631,KSC,ITSS,redacted,redacted,redacted,Active,Add-002205734,42746,Add,Provisioned,Yes,42746,bad_information,2 - Privileged - System Administration,RFI Admin,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith26,192741502,HQ,JF000,redacted,redacted,redacted,Active,Add-002208059,42747,Add,Provisioned,Yes,42747,bad_information,2 - Privileged - System Administration,RFI Admin,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith113,517341030,JSC,IA111,redacted,redacted,redacted,Active,Add-002208067,42747,Add,Provisioned,Yes,42748,bad_information,2 - Privileged - System Administration,RFI Admin,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith140,775793136,MSFC,IS95,redacted,redacted,redacted,Active,Add-002294706,42796,Add,Provisioned,Yes,42796,bad_information,2 - Privileged - System Administration,RFI Admin,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith114,510485425,JSC,IB111,redacted,redacted,redacted,Active,Add-002332261,42822,Add,Provisioned,Yes,42822,bad_information,2 - Privileged - System Administration,DAR Admin,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith114,510485425,JSC,IB111,redacted,redacted,redacted,Active,Add-002332261,42822,Add,Provisioned,Yes,42822,bad_information,2 - Privileged - System Administration,RFI Admin,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith115,540264064,JSC,IB111,redacted,redacted,redacted,Active,Modify-002332974,42822,Modify,Provisioned,Yes,42824,bad_information,2 - Privileged - System Administration,RFI Admin,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith27,380584131,HQ,WBH10,redacted,redacted,redacted,Active,Add-002381761,42851,Add,Provisioned,Yes,42853,bad_information,2 - Privileged - System Administration,RFI Admin,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith28,60991623,HQ,WBO22,redacted,redacted,redacted,Active,Add-002413352,42870,Add,Provisioned,Yes,42878,bad_information,2 - Privileged - System Administration,RFI Admin,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith116,902556925,JSC,IB,redacted,redacted,redacted,Active,Add-002437403,42885,Add,Provisioned,Yes,42891,bad_information,2 - Privileged - System Administration,DAR Admin,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith29,296512040,HQ,JC000,redacted,redacted,redacted,Active,Add-002476504,42894,Add,Provisioned,Yes,42895,bad_information,2 - Privileged - System Administration,RFI Admin,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith29,296512040,HQ,JC000,redacted,redacted,redacted,Active,Add-002476504,42894,Add,Provisioned,Yes,42895,bad_information,5 - Privileged - Account Administration (includes help desk user),Account Administrator,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith29,296512040,HQ,JC000,redacted,redacted,redacted,Active,Add-002476504,42894,Add,Provisioned,Yes,42895,bad_information,2 - Privileged - System Administration,DAR Admin,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith126,67433110,KSC,BAD00,redacted,redacted,redacted,Active,Add-002569386,42944,Add,Provisioned,Yes,42944,bad_information,2 - Privileged - System Administration,DAR Admin,Provisioned
HQ,HQ Access to Headquarters DAR/RFI Reporting Database,14686,Active,ssmith130,901350363,LARC,B7,redacted,redacted,redacted,Active,Add-002575168,42948,Add,Provisioned,Yes,42948,bad_information,2 - Privileged - System Administration,RFI Admin,Provisioned
HQ,HQ FASD CRAS Administrator,15721,Active,ssmith30,250943489,HQ,LM020,redacted,redacted,redacted,Active,Add-002197502,42740,Add,Provisioned,Yes,42740,bad_information,2 - Privileged - System Administration,General Administrative Access,Provisioned
HQ,HQ FASD CRAS Administrator,15721,Active,ssmith30,250943489,HQ,LM020,redacted,redacted,redacted,Active,Add-002197502,42740,Add,Provisioned,Yes,42740,bad_information,2 - Privileged - System Administration,ViTS Device Administrator,Provisioned
HQ,"HQ IBM Rational Project Areas, CRs, WMS",13589,Active,ssmith31,801786466,HQ,LM021,redacted,redacted,redacted,Active,Add-000915967,42013,Add,Provisioned,Yes,42017,bad_information,6 - Privileged - Application Admin,Admin (JazzAdmin),Provisioned
HQ,"HQ IBM Rational Project Areas, CRs, WMS",13589,Active,ssmith32,651684031,HQ,LM020,,redacted,redacted,Active,Add-001440730,42283,Add,Provisioned,Yes,42296,bad_information,6 - Privileged - Application Admin,Admin (JazzAdmin),Provisioned
HQ,"HQ IBM Rational Project Areas, CRs, WMS",13589,Active,ssmith33,186526351,HQ,LM024,202.358.0985,redacted,redacted,Active,Modify-002049512,42633,Modify,Provisioned,Yes,42636,bad_information,6 - Privileged - Application Admin,Admin (JazzAdmin),Provisioned
HQ,"HQ IBM Rational Project Areas, CRs, WMS",13589,Active,ssmith34,143356530,HQ,LM023,202.358.1546,redacted,redacted,Active,Add-002422714,42874,Add,Provisioned,Yes,42880,bad_information,6 - Privileged - Application Admin,Admin (JazzAdmin),Provisioned
HQ,"HQ IBM Rational Project Areas, CRs, WMS",13589,Active,ssmith35,46396630,HQ,LM020,202.358.1223,redacted,redacted,Active,Add-002429689,42879,Add,Provisioned,Yes,42880,bad_information,6 - Privileged - Application Admin,Admin (JazzAdmin),Provisioned
HQ,"HQ IBM Rational Project Areas, CRs, WMS",13589,Active,ssmith36,378015255,HQ,LM020,571.385.3981,redacted,redacted,Active,Add-002431007,42879,Add,Provisioned,Yes,42880,bad_information,6 - Privileged - Application Admin,Admin (JazzAdmin),Provisioned
HQ,"HQ IBM Rational Project Areas, CRs, WMS",13589,Active,ssmith37,70566725,HQ,LM020,571.385.4004,redacted,redacted,Active,Add-002431081,42879,Add,Provisioned,Yes,42881,bad_information,6 - Privileged - Application Admin,Admin (JazzAdmin),Provisioned
HQ,"HQ IBM Rational Project Areas, CRs, WMS",13589,Active,ssmith38,266895345,HQ,LM020,571.385.3987,redacted,redacted,Active,Modify-002434693,42881,Modify,Provisioned,Yes,42885,bad_information,6 - Privileged - Application Admin,Admin (JazzAdmin),Provisioned
HQ,"HQ IBM Rational Project Areas, CRs, WMS",13589,Active,ssmith39,877383139,HQ,LM020,,redacted,redacted,Active,Add-002852682,43110,Add,Provisioned,Yes,43110,bad_information,6 - Privileged - Application Admin,Admin (JazzAdmin),Provisioned
HQ,HQ ITCD MCE AWS Console,16885,Active,ssmith34,143356530,HQ,LM023,202.358.1546,redacted,redacted,Active,Add-002874267,43124,Add,Provisioned,Yes,43124,bad_information,2 - Privileged - System Administration,MCE Admin,Provisioned
HQ,HQ ITCD MCE AWS Console,16885,Active,ssmith40,591352705,HQ,LM020,202.358.1052,redacted,redacted,Active,Add-002906580,43144,Add,Provisioned,Yes,43146,bad_information,2 - Privileged - System Administration,MCE Engineer,Provisioned
HQ,HQ ITCD MCE AWS Console,16885,Active,ssmith35,46396630,HQ,LM020,202.358.1223,redacted,redacted,Active,Add-002906870,43144,Add,Provisioned,Yes,43146,bad_information,2 - Privileged - System Administration,MCE Engineer,Provisioned
HQ,HQ ITCD MCE AWS Console,16885,Active,ssmith41,803277140,HQ,LM020,202.358.3720,redacted,redacted,Active,Add-002910413,43146,Add,Provisioned,Yes,43146,bad_information,2 - Privileged - System Administration,MCE Engineer,Provisioned
HQ,HQ ITCD MCE AWS Console,16885,Active,ssmith42,432379233,HQ,LM020,202.358.0627,redacted,redacted,Active,Add-002910983,43146,Add,Provisioned,Yes,43146,bad_information,2 - Privileged - System Administration,MCE Engineer,Provisioned
HQ,HQ ITCD MCE AWS Console,16885,Active,ssmith43,368938720,HQ,LM020,202.358.2089,redacted,redacted,Active,Modify-002911201,43146,Modify,Provisioned,Yes,43146,bad_information,2 - Privileged - System Administration,MCE Engineer,Deprovisioned
HQ,HQ ITCD MCE AWS Console,16885,Active,ssmith43,368938720,HQ,LM020,202.358.2089,redacted,redacted,Active,Modify-002911201,43146,Modify,Provisioned,Yes,43146,bad_information,2 - Privileged - System Administration,MCE Admin,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith41,803277140,HQ,LM020,202.358.3720,redacted,redacted,Active,Add-002321668,42816,Add,Provisioned,Yes,42816,bad_information,2 - Privileged - System Administration,Stage Windows Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith41,803277140,HQ,LM020,202.358.3720,redacted,redacted,Active,Add-002321668,42816,Add,Provisioned,Yes,42816,bad_information,2 - Privileged - System Administration,Ansible Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith41,803277140,HQ,LM020,202.358.3720,redacted,redacted,Active,Add-002321668,42816,Add,Provisioned,Yes,42816,bad_information,2 - Privileged - System Administration,Stage Red Hat Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith41,803277140,HQ,LM020,202.358.3720,redacted,redacted,Active,Add-002321668,42816,Add,Provisioned,Yes,42816,bad_information,2 - Privileged - System Administration,R&D Red Hat Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith41,803277140,HQ,LM020,202.358.3720,redacted,redacted,Active,Add-002321668,42816,Add,Provisioned,Yes,42816,bad_information,2 - Privileged - System Administration,Test Windows Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith41,803277140,HQ,LM020,202.358.3720,redacted,redacted,Active,Add-002321668,42816,Add,Provisioned,Yes,42816,bad_information,2 - Privileged - System Administration,R&D Windows Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith41,803277140,HQ,LM020,202.358.3720,redacted,redacted,Active,Add-002321668,42816,Add,Provisioned,Yes,42816,bad_information,2 - Privileged - System Administration,Test Red Hat Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith35,46396630,HQ,LM020,202.358.1223,redacted,redacted,Active,Add-002321915,42816,Add,Provisioned,Yes,42816,bad_information,2 - Privileged - System Administration,R&D Windows Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith35,46396630,HQ,LM020,202.358.1223,redacted,redacted,Active,Add-002321915,42816,Add,Provisioned,Yes,42816,bad_information,2 - Privileged - System Administration,Test Windows Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith35,46396630,HQ,LM020,202.358.1223,redacted,redacted,Active,Add-002321915,42816,Add,Provisioned,Yes,42816,bad_information,2 - Privileged - System Administration,Production Red Hat Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith35,46396630,HQ,LM020,202.358.1223,redacted,redacted,Active,Add-002321915,42816,Add,Provisioned,Yes,42816,bad_information,2 - Privileged - System Administration,Ansible Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith35,46396630,HQ,LM020,202.358.1223,redacted,redacted,Active,Add-002321915,42816,Add,Provisioned,Yes,42816,bad_information,2 - Privileged - System Administration,Production Windows Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith35,46396630,HQ,LM020,202.358.1223,redacted,redacted,Active,Add-002321915,42816,Add,Provisioned,Yes,42816,bad_information,2 - Privileged - System Administration,Stage Windows Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith35,46396630,HQ,LM020,202.358.1223,redacted,redacted,Active,Add-002321915,42816,Add,Provisioned,Yes,42816,bad_information,2 - Privileged - System Administration,Stage Red Hat Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith35,46396630,HQ,LM020,202.358.1223,redacted,redacted,Active,Add-002321915,42816,Add,Provisioned,Yes,42816,bad_information,2 - Privileged - System Administration,Test Red Hat Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith35,46396630,HQ,LM020,202.358.1223,redacted,redacted,Active,Add-002321915,42816,Add,Provisioned,Yes,42816,bad_information,2 - Privileged - System Administration,R&D Red Hat Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith34,143356530,HQ,LM023,202.358.1546,redacted,redacted,Active,Add-002323138,42816,Add,Provisioned,Yes,42816,bad_information,2 - Privileged - System Administration,R&D Windows Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith34,143356530,HQ,LM023,202.358.1546,redacted,redacted,Active,Add-002323138,42816,Add,Provisioned,Yes,42816,bad_information,2 - Privileged - System Administration,Stage Windows Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith34,143356530,HQ,LM023,202.358.1546,redacted,redacted,Active,Add-002323138,42816,Add,Provisioned,Yes,42816,bad_information,2 - Privileged - System Administration,Test Red Hat Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith34,143356530,HQ,LM023,202.358.1546,redacted,redacted,Active,Add-002323138,42816,Add,Provisioned,Yes,42816,bad_information,2 - Privileged - System Administration,Production Red Hat Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith34,143356530,HQ,LM023,202.358.1546,redacted,redacted,Active,Add-002323138,42816,Add,Provisioned,Yes,42816,bad_information,2 - Privileged - System Administration,Stage Red Hat Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith34,143356530,HQ,LM023,202.358.1546,redacted,redacted,Active,Add-002323138,42816,Add,Provisioned,Yes,42816,bad_information,2 - Privileged - System Administration,Test Windows Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith34,143356530,HQ,LM023,202.358.1546,redacted,redacted,Active,Add-002323138,42816,Add,Provisioned,Yes,42816,bad_information,2 - Privileged - System Administration,Ansible Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith34,143356530,HQ,LM023,202.358.1546,redacted,redacted,Active,Add-002323138,42816,Add,Provisioned,Yes,42816,bad_information,2 - Privileged - System Administration,Production Windows Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith34,143356530,HQ,LM023,202.358.1546,redacted,redacted,Active,Add-002323138,42816,Add,Provisioned,Yes,42816,bad_information,2 - Privileged - System Administration,R&D Red Hat Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith43,368938720,HQ,LM020,202.358.2089,redacted,redacted,Active,Add-002324328,42817,Add,Provisioned,Yes,42817,bad_information,2 - Privileged - System Administration,R&D Windows Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith43,368938720,HQ,LM020,202.358.2089,redacted,redacted,Active,Add-002324328,42817,Add,Provisioned,Yes,42817,bad_information,2 - Privileged - System Administration,R&D Red Hat Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith43,368938720,HQ,LM020,202.358.2089,redacted,redacted,Active,Add-002324328,42817,Add,Provisioned,Yes,42817,bad_information,2 - Privileged - System Administration,Test Red Hat Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith43,368938720,HQ,LM020,202.358.2089,redacted,redacted,Active,Add-002324328,42817,Add,Provisioned,Yes,42817,bad_information,2 - Privileged - System Administration,Test Windows Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith43,368938720,HQ,LM020,202.358.2089,redacted,redacted,Active,Add-002324328,42817,Add,Provisioned,Yes,42817,bad_information,2 - Privileged - System Administration,Ansible Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith43,368938720,HQ,LM020,202.358.2089,redacted,redacted,Active,Add-002324328,42817,Add,Provisioned,Yes,42817,bad_information,2 - Privileged - System Administration,Stage Windows Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith43,368938720,HQ,LM020,202.358.2089,redacted,redacted,Active,Add-002324328,42817,Add,Provisioned,Yes,42817,bad_information,2 - Privileged - System Administration,Stage Red Hat Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith40,591352705,HQ,LM020,202.358.1052,redacted,redacted,Active,Add-002325064,42818,Add,Provisioned,Yes,42818,bad_information,2 - Privileged - System Administration,R&D Windows Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith40,591352705,HQ,LM020,202.358.1052,redacted,redacted,Active,Add-002325064,42818,Add,Provisioned,Yes,42818,bad_information,2 - Privileged - System Administration,Test Red Hat Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith40,591352705,HQ,LM020,202.358.1052,redacted,redacted,Active,Add-002325064,42818,Add,Provisioned,Yes,42818,bad_information,2 - Privileged - System Administration,Stage Windows Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith40,591352705,HQ,LM020,202.358.1052,redacted,redacted,Active,Add-002325064,42818,Add,Provisioned,Yes,42818,bad_information,2 - Privileged - System Administration,Ansible Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith40,591352705,HQ,LM020,202.358.1052,redacted,redacted,Active,Add-002325064,42818,Add,Provisioned,Yes,42818,bad_information,2 - Privileged - System Administration,R&D Red Hat Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith40,591352705,HQ,LM020,202.358.1052,redacted,redacted,Active,Add-002325064,42818,Add,Provisioned,Yes,42818,bad_information,2 - Privileged - System Administration,Stage Red Hat Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith40,591352705,HQ,LM020,202.358.1052,redacted,redacted,Active,Add-002325064,42818,Add,Provisioned,Yes,42818,bad_information,2 - Privileged - System Administration,Test Windows Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith44,565662846,HQ,LM020,202.358.2299,redacted,redacted,Active,Add-002325081,42818,Add,Provisioned,Yes,42818,bad_information,2 - Privileged - System Administration,Ansible Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith45,954842252,HQ,LM023,301.464.6176,redacted,redacted,Active,Add-002334310,42823,Add,Provisioned,Yes,42824,bad_information,2 - Privileged - System Administration,R&D Windows Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith46,892631651,HQ,LM023,301.464.6638,redacted,redacted,Active,Add-002334322,42823,Add,Provisioned,Yes,42824,bad_information,2 - Privileged - System Administration,R&D Windows Server Administrator,Provisioned
HQ,HQ ITCD MCE Infrastructure,16026,Active,ssmith47,612886643,HQ,LM020,202.358.0077,redacted,redacted,Active,Add-002405054,42864,Add,Provisioned,Yes,42864,bad_information,2 - Privileged - System Administration,Ansible Administrator,Provisioned
